id,model_name,region,channel,layer,threshold,img_path,size
420,ffhq,hair,322,6,0.6,imgs/small_id_420_region_hair_t_0.6_layer_6_ch_322_0_seed_1.jpeg,100
422,ffhq,hair,128,6,0.6,imgs/small_id_422_region_hair_t_0.6_layer_6_ch_128_0_seed_1.jpeg,100
424,ffhq,hair,254,6,0.6,imgs/small_id_424_region_hair_t_0.6_layer_6_ch_254_0_seed_1.jpeg,100
426,ffhq,hair,487,6,0.6,imgs/small_id_426_region_hair_t_0.6_layer_6_ch_487_0_seed_1.jpeg,100
428,ffhq,hair,188,6,0.6,imgs/small_id_428_region_hair_t_0.6_layer_6_ch_188_0_seed_1.jpeg,100
430,ffhq,hair,504,6,0.6,imgs/small_id_430_region_hair_t_0.6_layer_6_ch_504_0_seed_1.jpeg,100
432,ffhq,hair,364,6,0.6,imgs/small_id_432_region_hair_t_0.6_layer_6_ch_364_0_seed_1.jpeg,100
434,ffhq,hair,497,6,0.6,imgs/small_id_434_region_hair_t_0.6_layer_6_ch_497_0_seed_1.jpeg,100
436,ffhq,hair,179,6,0.6,imgs/small_id_436_region_hair_t_0.6_layer_6_ch_179_0_seed_1.jpeg,100
438,ffhq,hair,175,6,0.6,imgs/small_id_438_region_hair_t_0.6_layer_6_ch_175_0_seed_1.jpeg,100
440,ffhq,hair,182,8,0.7,imgs/small_id_440_region_hair_t_0.7_layer_8_ch_182_0_seed_1.jpeg,100
442,ffhq,hair,359,8,0.7,imgs/small_id_442_region_hair_t_0.7_layer_8_ch_359_0_seed_1.jpeg,100
444,ffhq,hair,83,6,0.6,imgs/small_id_444_region_hair_t_0.6_layer_6_ch_83_0_seed_1.jpeg,100
446,ffhq,hair,114,6,0.6,imgs/small_id_446_region_hair_t_0.6_layer_6_ch_114_0_seed_1.jpeg,100
448,ffhq,hair,203,9,0.69,imgs/small_id_448_region_hair_t_0.69_layer_9_ch_203_0_seed_1.jpeg,100
450,ffhq,hair,475,9,0.69,imgs/small_id_450_region_hair_t_0.69_layer_9_ch_475_0_seed_1.jpeg,100
452,ffhq,hair,107,9,0.69,imgs/small_id_452_region_hair_t_0.69_layer_9_ch_107_0_seed_1.jpeg,100
454,ffhq,hair,18,9,0.69,imgs/small_id_454_region_hair_t_0.69_layer_9_ch_18_0_seed_1.jpeg,100
456,ffhq,hair,436,9,0.69,imgs/small_id_456_region_hair_t_0.69_layer_9_ch_436_0_seed_1.jpeg,100
458,ffhq,hair,33,9,0.69,imgs/small_id_458_region_hair_t_0.69_layer_9_ch_33_0_seed_1.jpeg,100
460,ffhq,hair,25,9,0.69,imgs/small_id_460_region_hair_t_0.69_layer_9_ch_25_0_seed_1.jpeg,100
462,ffhq,hair,257,9,0.69,imgs/small_id_462_region_hair_t_0.69_layer_9_ch_257_0_seed_1.jpeg,100
464,ffhq,hair,415,9,0.69,imgs/small_id_464_region_hair_t_0.69_layer_9_ch_415_0_seed_1.jpeg,100
466,ffhq,hair,186,9,0.69,imgs/small_id_466_region_hair_t_0.69_layer_9_ch_186_0_seed_1.jpeg,100
468,ffhq,hair,471,9,0.69,imgs/small_id_468_region_hair_t_0.69_layer_9_ch_471_0_seed_1.jpeg,100
470,ffhq,hair,97,6,0.6,imgs/small_id_470_region_hair_t_0.6_layer_6_ch_97_0_seed_1.jpeg,100
472,ffhq,hair,262,6,0.6,imgs/small_id_472_region_hair_t_0.6_layer_6_ch_262_0_seed_1.jpeg,100
474,ffhq,hair,393,6,0.6,imgs/small_id_474_region_hair_t_0.6_layer_6_ch_393_0_seed_1.jpeg,100
476,ffhq,hair,374,6,0.6,imgs/small_id_476_region_hair_t_0.6_layer_6_ch_374_0_seed_1.jpeg,100
478,ffhq,hair,102,6,0.6,imgs/small_id_478_region_hair_t_0.6_layer_6_ch_102_0_seed_1.jpeg,100
480,ffhq,hair,510,6,0.6,imgs/small_id_480_region_hair_t_0.6_layer_6_ch_510_0_seed_1.jpeg,100
482,ffhq,hair,286,11,0.75,imgs/small_id_482_region_hair_t_0.75_layer_11_ch_286_0_seed_1.jpeg,100
484,ffhq,hair,125,11,0.75,imgs/small_id_484_region_hair_t_0.75_layer_11_ch_125_0_seed_1.jpeg,100
486,ffhq,hair,406,11,0.75,imgs/small_id_486_region_hair_t_0.75_layer_11_ch_406_0_seed_1.jpeg,100
488,ffhq,hair,85,11,0.75,imgs/small_id_488_region_hair_t_0.75_layer_11_ch_85_0_seed_1.jpeg,100
490,ffhq,hair,500,6,0.6,imgs/small_id_490_region_hair_t_0.6_layer_6_ch_500_0_seed_1.jpeg,100
492,ffhq,hair,337,6,0.6,imgs/small_id_492_region_hair_t_0.6_layer_6_ch_337_0_seed_1.jpeg,100
494,ffhq,hair,387,6,0.6,imgs/small_id_494_region_hair_t_0.6_layer_6_ch_387_0_seed_1.jpeg,100
496,ffhq,hair,424,12,0.7,imgs/small_id_496_region_hair_t_0.7_layer_12_ch_424_0_seed_1.jpeg,100
498,ffhq,hair,119,12,0.7,imgs/small_id_498_region_hair_t_0.7_layer_12_ch_119_0_seed_1.jpeg,100
500,ffhq,hair,330,12,0.7,imgs/small_id_500_region_hair_t_0.7_layer_12_ch_330_0_seed_1.jpeg,100
502,ffhq,hair,266,12,0.7,imgs/small_id_502_region_hair_t_0.7_layer_12_ch_266_0_seed_1.jpeg,100
504,ffhq,hair,456,12,0.7,imgs/small_id_504_region_hair_t_0.7_layer_12_ch_456_0_seed_1.jpeg,100
506,ffhq,hair,236,12,0.7,imgs/small_id_506_region_hair_t_0.7_layer_12_ch_236_0_seed_1.jpeg,100
508,ffhq,hair,192,12,0.7,imgs/small_id_508_region_hair_t_0.7_layer_12_ch_192_0_seed_1.jpeg,100
510,ffhq,hair,206,12,0.7,imgs/small_id_510_region_hair_t_0.7_layer_12_ch_206_0_seed_1.jpeg,100
512,ffhq,hair,465,12,0.7,imgs/small_id_512_region_hair_t_0.7_layer_12_ch_465_0_seed_1.jpeg,100
514,ffhq,hair,390,12,0.7,imgs/small_id_514_region_hair_t_0.7_layer_12_ch_390_0_seed_1.jpeg,100
516,ffhq,hair,231,8,0.7,imgs/small_id_516_region_hair_t_0.7_layer_8_ch_231_0_seed_1.jpeg,100
518,ffhq,hair,497,8,0.7,imgs/small_id_518_region_hair_t_0.7_layer_8_ch_497_0_seed_1.jpeg,100
520,ffhq,hair,479,12,0.7,imgs/small_id_520_region_hair_t_0.7_layer_12_ch_479_0_seed_1.jpeg,100
522,ffhq,hair,96,12,0.7,imgs/small_id_522_region_hair_t_0.7_layer_12_ch_96_0_seed_1.jpeg,100
524,ffhq,hair,108,12,0.7,imgs/small_id_524_region_hair_t_0.7_layer_12_ch_108_0_seed_1.jpeg,100
526,ffhq,hair,94,12,0.7,imgs/small_id_526_region_hair_t_0.7_layer_12_ch_94_0_seed_1.jpeg,100
528,ffhq,hair,6,12,0.7,imgs/small_id_528_region_hair_t_0.7_layer_12_ch_6_0_seed_1.jpeg,100
530,ffhq,hair,339,8,0.7,imgs/small_id_530_region_hair_t_0.7_layer_8_ch_339_0_seed_1.jpeg,100
532,ffhq,hair,4,8,0.7,imgs/small_id_532_region_hair_t_0.7_layer_8_ch_4_0_seed_1.jpeg,100